GreyhoundName,,GreyhoundName,Earmark,Reg Date,Active,Colour,Sex,Whelp Date,Retirement Type,Status Meaning,NoticeSentBy
AHERLA SCOTT,87466,AHERLA SCOTT,TLMTV,,False,bk,D,11/08/2018,EUT,Died/Put To Sleep,2022-08-02 07:32:00
AHOLLO,915974,AHOLLO,XDRTL,,False,bk,D,11/10/2021,EUT,Died/Put To Sleep,2022-07-30 07:33:00
AIRDOWN ONE,501221,AIRDOWN ONE,TDVJU,,False,bd,B,01/04/2018,RET,Still at premises,2022-08-26 07:33:00
AIRDOWN TIPPY,649061,AIRDOWN TIPPY,UDLTV,,False,bk,D,21/08/2019,DIE,Died/Put To Sleep,2022-09-10 07:34:00
AIRDOWN VIMMERLU,501055,AIRDOWN VIMMERLU,TDDSD,,False,bk,B,15/03/2018,RET,Still at premises,2022-08-18 07:34:00
AIRFIELD COOKIE,134855,AIRFIELD COOKIE,UHILB,,True,bk,D,15/07/2019,RET,Out of Retirement,2022-09-17 07:33:00
AIRFIELD JUNE,560594,AIRFIELD JUNE,UHIMB,,False,bk,B,15/07/2019,RET,Still at premises,2022-02-28 06:30:00
AIRFIELD STORM,822488,AIRFIELD STORM,XHJRD,,False,be,D,06/07/2021,DIE,Died/Put To Sleep,2022-09-08 07:33:00
AIRMOUNT FERN,74725,AIRMOUNT FERN,TBLQB,,False,be,B,10/05/2018,RET,Still at premises,2022-07-13 07:32:00
AIRMOUNT SID,255125,AIRMOUNT SID,VBHHZ,,False,bk,D,26/12/2019,RET,Still at premises,2022-08-24 07:33:00
AIRMOUNT SOFIA,502730,AIRMOUNT SOFIA,TBUXM,,False,bebd,B,10/05/2018,RET,Still at premises,2022-09-05 07:31:00
AIRPORT GUEST,60142,AIRPORT GUEST,SKUXE,,True,wf,D,05/11/2016,RET,Still at premises,2022-05-26 07:33:00
AKAY FORTY SEVEN,7122,AKAY FORTY SEVEN,TPXQZ,21/12/2018,True,bk,B,13/09/2018,RET,Still at premises,2022-08-11 07:33:00
AKISSFORROISIN,84053,AKISSFORROISIN,TYRMI,,False,bkw,D,14/08/2018,DIE,Died/Put To Sleep,2022-09-02 07:33:00
ALAMO DEGUELLO,305537,ALAMO DEGUELLO,VTUDS,,False,bk,B,14/06/2020,EUT,Died/Put To Sleep,2022-07-29 07:33:00
ALAMO JOHNEY REB,694159,ALAMO JOHNEY REB,VTDAZ,,False,bk,D,14/06/2020,DIE,Died/Put To Sleep,2022-07-29 07:33:00
ALAMO QUANTRILL,105964,ALAMO QUANTRILL,UTUNB,,False,bk,B,15/12/2018,DIE,Died/Put To Sleep,2022-09-02 07:33:00
ALBERTA BILLY,55414,ALBERTA BILLY,RHNIL,,False,bk,D,09/04/2016,EUT,Died/Put To Sleep,2022-08-04 07:35:00
ALIAS FOR GOLD,58114,ALIAS FOR GOLD,SXAJD,,False,bebd,B,15/08/2017,DIE,Died/Put To Sleep,2022-03-18 06:03:00
ALIEN BREXITEER,669308,ALIEN BREXITEER,TDTJR,,False,wbk,D,09/05/2018,DIE,Died/Put To Sleep,2022-08-16 07:33:00
ALIEN GAME,862508,ALIEN GAME,VSEPN,,False,bk,B,01/08/2020,DIE,Died/Put To Sleep,2022-07-20 07:32:00
ALIEN HOPE,862464,ALIEN HOPE,VSPMY,,False,bk,D,01/08/2020,DIE,Died/Put To Sleep,2022-09-14 07:33:00
ALIEN MOUSSY,358239,ALIEN MOUSSY,VDMUS,,False,bd,B,06/02/2020,DIE,Died/Put To Sleep,2022-01-09 06:22:00
ALISHAS RODDICK,345670,ALISHAS RODDICK,VJUMN,,False,bd,B,20/06/2020,DIE,Died/Put To Sleep,2022-08-11 07:33:00
ALL CREATION,876987,ALL CREATION,XKLJK,,False,ltbd,B,12/09/2021,DIE,Died/Put To Sleep,2022-08-31 07:34:00
ALL JOKES ASIDE,61454,ALL JOKES ASIDE,SYXDB,,False,bk,D,16/10/2017,DIE,Died/Put To Sleep,2022-09-01 07:33:00
ALL LOCKED UP,449223,ALL LOCKED UP,VTADV,,False,wbk,B,26/07/2020,DIE,Died/Put To Sleep,2022-03-04 06:02:00
ALL SHOOK UP,537589,ALL SHOOK UP,UDZYR,,False,wbe,D,08/01/2019,DIE,Died/Put To Sleep,2022-02-28 06:30:00
ALL THE NEWS,926090,ALL THE NEWS,YYASY,,False,bk,D,20/12/2021,EUT,Died/Put To Sleep,2022-04-22 06:07:00
ALLAGHAUN FLOW,876268,ALLAGHAUN FLOW,XHRAL,,False,be,B,08/10/2021,DIE,Died/Put To Sleep,2022-07-02 07:34:00
ALLEN STREAM,863197,ALLEN STREAM,XKUHU,,False,bk,D,15/09/2021,EUT,Died/Put To Sleep,2022-07-30 07:33:00
ALLFORTHEGRAN,884771,ALLFORTHEGRAN,YPJMZ,,False,bdw,B,23/07/2021,DIE,Died/Put To Sleep,2022-03-21 09:38:00
ALLHOPEISGONE,749638,ALLHOPEISGONE,VBLXD,,False,bk,D,25/06/2020,RET,Still at premises,2022-08-31 07:34:00
ALLMYSORROWS,136017,ALLMYSORROWS,UUDED,,False,bk,D,11/07/2019,DIE,Died/Put To Sleep,2022-07-07 07:33:00
ALLOWDALE CIARA,891717,ALLOWDALE CIARA,XLVKA,,False,bk,B,10/11/2021,DIE,Died/Put To Sleep,2022-02-28 06:30:00
ALLOWDALE SHELLY,75126,ALLOWDALE SHELLY,TLVPL,,False,bk,B,25/05/2018,DIE,Died/Put To Sleep,2022-09-01 07:33:00
ALLSTAR HOPE,853315,ALLSTAR HOPE,XXLXU,,False,bd,B,11/09/2021,DIE,Died/Put To Sleep,2022-09-14 07:33:00
ALMAZ,652574,ALMAZ,VPPQY,,False,bk,B,08/06/2020,RET,Out of Retirement,2022-08-06 07:34:00
ALMIGHTY FARLOE,642898,ALMIGHTY FARLOE,VBVHN,,False,wbk,D,20/02/2020,DIE,Died/Put To Sleep,2022-08-09 07:33:00
ALMIGHTY TALIA,796792,ALMIGHTY TALIA,XBMZS,,False,bkw,B,08/04/2021,RET,Transfer is complete,2022-09-11 07:34:00
ALOHA ELVIS,94658,ALOHA ELVIS,STKQH,,False,bk,D,06/08/2017,DIE,Died/Put To Sleep,2022-02-28 06:30:00
ALTESSE ANTON,378024,ALTESSE ANTON,XDBXE,,False,bk,D,03/03/2021,DIE,Died/Put To Sleep,2022-06-05 07:32:00
ALTESSE FOUND,725,ALTESSE FOUND,SDXIH,09/01/2018,False,bkw,B,12/04/2017,RET,Licence Unsuspended,2022-04-20 12:45:00
ALTESSE SAMCRO,726,ALTESSE SAMCRO,SDRQB,09/01/2018,False,bkw,D,12/04/2017,DIE,Died/Put To Sleep,2021-12-29 09:33:00
ALTESSE WILLOW,758651,ALTESSE WILLOW,XDXIV,,False,bk,B,03/03/2021,DIE,Died/Put To Sleep,2022-06-05 07:32:00
AMARILLO SKY,228750,AMARILLO SKY,XHIVP,,False,bkw,B,01/01/2021,RET,Still at premises,2022-08-17 07:36:00
AMATEUR HOUR,653564,AMATEUR HOUR,XLNTE,,False,bk,B,01/02/2021,DIE,Died/Put To Sleep,2022-09-12 07:33:00
AMBER FREE,229713,AMBER FREE,VLHRA,,False,bkw,B,17/04/2020,EUT,Died/Put To Sleep,2022-04-22 06:07:00
AMBER SPARK,435010,AMBER SPARK,VSPPU,,False,bk,B,17/09/2020,DIE,Died/Put To Sleep,2022-08-11 07:33:00
AMBITIOUS BARBIE,603765,AMBITIOUS BARBIE,XXTYP,,False,bk,B,05/10/2020,RET,Still at premises,2022-08-26 07:33:00
AMBULAMB,145257,AMBULAMB,UDLQV,,False,bk,B,19/08/2019,DIE,Died/Put To Sleep,2022-09-08 07:33:00
AMIDUS LUKE,131124,AMIDUS LUKE,UNRXD,,False,bk,D,09/07/2019,DIE,Died/Put To Sleep,2022-08-21 07:33:00
AMONG US,30814,AMONG US,VLJLE,17/04/2020,False,bkw,B,17/04/2020,EUT,Died/Put To Sleep,2022-04-22 06:07:00
AN SIOG BEAG,104165,AN SIOG BEAG,UYYTN,,False,bk,B,10/12/2018,RET,Still at premises,2022-09-04 07:32:00
ANASCAUL BLACKIE,125,ANASCAUL BLACKIE,RYJZK,30/05/2017,True,bk,D,22/07/2016,RET,Still at premises,2022-03-03 06:02:00
ANASCAUL SPOT,539992,ANASCAUL SPOT,UYVYD,,True,bd,D,10/03/2019,RET,Still at premises,2022-07-28 07:34:00
ANASCAUL THOMAS,539951,ANASCAUL THOMAS,UYHNP,,False,f,D,10/03/2019,RET,Still at premises,2022-08-23 07:32:00
AND HERES ME,140309,AND HERES ME,UKKRN,,False,bk,D,02/08/2019,RET,,2022-06-13 07:33:00
ANDREWS DREAM,824336,ANDREWS DREAM,XHLEL,,False,bk,D,25/06/2021,EUT,Died/Put To Sleep,2022-07-01 07:33:00
ANHID FALCON,490474,ANHID FALCON,SHSLQ,,False,bk,B,20/09/2017,RET,Out of Retirement,2021-11-08 06:01:00
ANNABELLE FLYER,67118,ANNABELLE FLYER,TQSUL,,False,bd,B,04/02/2018,DIE,Died/Put To Sleep,2022-02-28 06:30:00
ANNACURRA HAWK,65808,ANNACURRA HAWK,TBEUY,,False,bd,D,16/09/2017,DIE,Died/Put To Sleep,2022-05-18 07:34:00
ANNAGAR ROCKY,525696,ANNAGAR ROCKY,TYUHI,,False,bk,D,22/10/2018,DIE,Died/Put To Sleep,2022-09-16 07:33:00
ANNAGH LUCILLE,1134,ANNAGH LUCILLE,SSABM,07/02/2018,True,bd,B,02/11/2017,RET,Still at premises,2022-09-01 07:33:00
ANNAGH LUCY,356832,ANNAGH LUCY,VHQTE,,False,bk,B,30/05/2020,RET,ICC Record edit,2022-08-05 07:33:00
ANNAMORE RANKIN,143345,ANNAMORE RANKIN,UYUXV,,False,bk,D,04/09/2019,EUT,Died/Put To Sleep,2022-01-19 06:11:00
ANNS MATT,512178,ANNS MATT,TYXVU,,False,bk,B,08/06/2018,RET,Transfer is complete,2022-09-14 07:33:00
ANNUAL BLADE,623531,ANNUAL BLADE,UNJVZ,,False,bd,D,09/03/2019,DIE,Died/Put To Sleep,2022-02-28 06:30:00
ANNUAL BLEND,155670,ANNUAL BLEND,ULZHV,,False,wbk,B,01/11/2019,DIE,Died/Put To Sleep,2022-02-28 06:30:00
ANNUAL PARLENA,116915,ANNUAL PARLENA,UBZHH,,False,bk,B,02/04/2019,RET,Still at premises,2022-06-11 07:33:00
ANNUAL PRINCE,287326,ANNUAL PRINCE,UXEYE,,False,wbk,D,02/07/2019,EUT,Died/Put To Sleep,2022-09-13 07:33:00
ANNUAL THELMA,903078,ANNUAL THELMA,XVEIZ,,False,bk,B,05/09/2021,DIE,Died/Put To Sleep,2022-03-13 06:08:00
ANOTHER CHAPERAL,569076,ANOTHER CHAPERAL,UTUHU,,False,bk,B,04/08/2019,EUT,Died/Put To Sleep,2022-09-14 07:33:00
ANOTHER CLAMPETT,118778,ANOTHER CLAMPETT,UTYYB,,False,be,D,13/04/2019,DIE,Died/Put To Sleep,2022-09-02 07:33:00
ANOTHER EFFORT,163032,ANOTHER EFFORT,VVRQK,,True,bk,B,28/11/2019,RET,Still at premises,2022-08-10 07:34:00
ANOTHER MATTIE,671688,ANOTHER MATTIE,SNEKP,,False,bd,D,03/09/2017,DIE,Died/Put To Sleep,2022-03-15 06:03:00
ANOTHER PILOT,622772,ANOTHER PILOT,XPSVY,,False,bebd,D,19/12/2020,EUT,Died/Put To Sleep,2022-07-24 07:33:00
ANOTHER PLACE,538639,ANOTHER PLACE,UPKPE,,False,bd,B,01/02/2019,RET,Still at premises,2022-07-29 07:33:00
ANOTHER SIZZLED,599154,ANOTHER SIZZLED,VPBMH,,False,wbk,D,14/11/2020,DIE,Died/Put To Sleep,2022-08-07 07:32:00
ANOTHER TWIST,751763,ANOTHER TWIST,XRQYS,,False,f,B,10/04/2021,DIE,Died/Put To Sleep,2022-09-16 07:33:00
ANTARES,377740,ANTARES,XVMLN,,False,bd,D,14/01/2021,DIE,Died/Put To Sleep,2022-09-01 07:33:00
ANTIGUA GOODWILL,325596,ANTIGUA GOODWILL,VXVME,,False,bk,D,04/09/2020,DIE,Died/Put To Sleep,2022-07-28 07:34:00
ANY MORE NEWS,220523,ANY MORE NEWS,XYTNE,,False,bk,D,15/12/2020,DIE,Died/Put To Sleep,2022-04-24 06:19:00
ANYTHINGHAPPENIN,654519,ANYTHINGHAPPENIN,VXNQE,,False,be,D,12/03/2020,DIE,Died/Put To Sleep,2022-09-10 07:34:00
ANYTIME NOW,780195,ANYTIME NOW,XXYTP,,False,bk,B,14/05/2021,RET,Transfer is complete,2022-09-12 07:33:00
ANYTIME PADDY,612544,ANYTIME PADDY,XXZIX,,False,wbk,D,02/10/2020,EUT,Died/Put To Sleep,2022-08-27 07:32:00
AOIFES BLUEBOY,313609,AOIFES BLUEBOY,XLXLM,,False,be,D,11/03/2021,DIE,Died/Put To Sleep,2022-08-11 07:33:00
APOTHECARY,2856,APOTHECARY,TLNBD,28/06/2018,False,bk,B,02/04/2018,RET,Licence Unsuspended,2022-09-04 07:32:00
APRIL TOAST,751784,APRIL TOAST,XRMPQ,,False,f,B,10/04/2021,EUT,Died/Put To Sleep,2022-03-19 06:03:00
ARABELLA LEOPARD,113199,ARABELLA LEOPARD,UYREZ,,False,f,D,10/03/2019,DIE,Died/Put To Sleep,2022-09-04 07:32:00
ARAHOWYALOVEEN,869355,ARAHOWYALOVEEN,XVMJL,,False,bd,B,05/09/2021,DIE,Died/Put To Sleep,2022-08-19 07:34:00
ARCHATON ICE,571620,ARCHATON ICE,UDHRS,,False,bk,D,15/07/2019,DIE,Died/Put To Sleep,2022-09-13 07:33:00
ARCHATON MIA,56879,ARCHATON MIA,RDHBU,,False,bk,B,02/10/2016,RET,Died/Put To Sleep,2022-04-22 06:07:00
ARCHATON MICHELE,272,ARCHATON MICHELE,RDBAR,27/09/2017,False,wbk,B,02/10/2016,DIE,Died/Put To Sleep,2021-04-20 09:35:00
ARCHATON OMO,145312,ARCHATON OMO,UDKSV,,False,bd,D,15/07/2019,DIE,Died/Put To Sleep,2022-09-16 07:33:00
ARCHATON SEAN,56919,ARCHATON SEAN,RDHAU,,True,bd,D,02/10/2016,RET,Still at premises,2022-09-01 07:33:00
ARCHATON SHESHE,56854,ARCHATON SHESHE,RDRHH,,True,bkw,B,02/10/2016,RET,Still at premises,2022-09-01 07:33:00
ARDAGH ANGEL,697053,ARDAGH ANGEL,XYEPK,,False,bk,B,16/03/2021,DIE,Died/Put To Sleep,2022-09-01 07:33:00
ARDBOULA PODGE,123536,ARDBOULA PODGE,ULUTV,,False,bkw,D,02/06/2019,DIE,Died/Put To Sleep,2022-09-02 07:33:00
ARDERA FIFI,9509,ARDERA FIFI,TBDSN,19/02/2019,False,wbk,B,01/10/2018,RET,Licence Unsuspended,2021-11-24 06:03:00
ARDEVAN STAR,672326,ARDEVAN STAR,XVPPU,,True,wbk,B,01/03/2021,RET,Still at premises,2022-09-05 07:31:00
ARDFERT CECIL,761430,ARDFERT CECIL,XYQEX,,False,bk,D,02/05/2021,DIE,Died/Put To Sleep,2022-02-28 06:30:00
ARDFERT HARRY,799604,ARDFERT HARRY,VYLAA,,False,bk,D,09/09/2020,DIE,Died/Put To Sleep,2022-09-07 07:34:00
